node,community
0,0
1,26
2,2
3,3
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,3
12,10
13,11
14,12
15,7
16,10
17,10
18,13
19,14
20,15
21,16
22,8
23,8
24,17
25,18
26,11
27,19
28,20
29,21
30,22
31,19
32,9
33,23
34,7
35,24
36,24
37,9
38,3
39,26
40,10
41,10
42,4
43,13
44,6
45,10
46,19
47,24
48,27
49,8
50,19
51,28
52,9
53,10
54,24
55,29
56,4
57,20
58,4
59,3
60,3
61,26
62,20
63,10
64,28
65,3
66,3
67,22
68,20
69,26
70,26
71,30
72,20
73,4
74,9
75,9
76,19
77,21
78,24
79,10
80,20
81,2
82,26
83,5
84,9
85,13
86,24
87,9
88,30
89,12
90,2
91,9
92,0
93,9
94,11
95,4
96,4
97,20
98,19
99,10
100,31
101,9
102,7
103,32
104,30
105,10
106,10
107,33
108,9
109,21
110,29
111,24
112,12
113,22
114,27
115,24
116,24
117,0
118,13
119,26
120,26
121,29
122,26
123,9
124,22
125,7
126,36
127,30
128,23
129,35
130,35
131,23
132,29
133,29
134,33
135,24
136,31
137,9
138,27
139,31
140,36
141,34
142,18
143,29
144,27
145,31
146,30
147,21
148,29
149,21
150,29
151,21
152,29
153,21
154,4
155,7
156,28
157,7
158,7
159,28
160,28
161,7
162,14
163,7
164,26
165,9
166,30
167,30
168,30
169,30
170,0
171,9
172,27
173,0
174,18
175,23
176,18
177,23
178,18
179,23
180,34
181,23
182,18
183,34
184,34
185,34
186,36
187,36
188,34
189,36
190,34
191,36
192,34
193,36
194,34
195,36
196,34
197,36
198,34
199,36
200,36
201,25
202,10
203,20
204,2
205,31
206,27
207,13
208,30
209,30
210,25
211,25
212,9
213,23
214,19
215,19
216,19
217,19
218,19
219,19
220,25
221,9
222,21
223,29
224,3
225,3
226,30
227,30
228,31
229,3
230,3
231,3
232,3
233,16
234,26
235,7
236,7
237,17
238,19
239,8
240,9
241,9
242,20
243,20
244,31
245,27
246,3
247,3
248,18
249,3
250,26
251,13
252,26
253,22
254,34
255,26
256,26
257,1
258,21
259,32
260,32
261,32
262,25
263,4
264,7
265,24
266,14
267,28
268,30
269,29
270,9
271,20
272,10
273,27
274,23
275,1
276,21
277,16
278,34
279,36
280,36
281,28
282,28
283,28
284,27
285,7
286,7
287,28
288,28
289,34
290,29
291,21
292,21
293,29
294,21
295,21
296,36
297,30
298,30
299,29
300,7
301,15
302,32
303,31
304,24
305,31
306,25
